ID,LastBillAmount,LatePaymentCount,LatePaymentCharges,BillMonthlyDate,AccessoriesPaid,AvgMonthlySpend,PaymentType
3791,125.12,4,25.03,3,57.81,126.69,CC
3792,80.31,4,16.07,3,0.00,80.60,PP
3793,123.18,2,12.32,17,0.00,123.51,CC
3794,172.98,8,69.20,3,0.00,174.43,CK
3795,80.82,0,0.00,17,0.00,80.82,CK
3796,67.95,0,0.00,17,0.00,67.95,CC
3797,141.72,0,0.00,3,0.00,141.72,Auto
3798,174.24,6,52.28,3,0.00,174.87,CC
3799,107.97,2,10.80,3,0.00,108.32,CC
3800,84.24,0,0.00,3,0.00,84.24,Auto
3801,111.17,0,0.00,3,0.00,111.17,Auto
3802,81.66,2,8.17,17,0.00,81.96,CC
3803,107.99,0,0.00,3,33.98,108.42,Auto
3804,122.33,2,12.24,17,18.12,122.94,CC
3805,143.51,0,0.00,17,10.78,143.66,Auto
3806,148.78,1,7.44,17,43.44,151.61,CC
3807,125.36,0,0.00,3,54.60,125.88,Auto
3808,85.73,0,0.00,3,31.26,86.60,Auto
3809,149.56,3,22.44,17,0.00,150.03,CC
3810,115.72,0,0.00,17,0.00,115.72,CC
3811,81.73,7,28.61,3,30.31,82.32,CC
3812,122.30,0,0.00,3,0.00,122.30,Auto
3813,146.81,1,7.35,3,0.00,147.16,CC
3814,128.10,0,0.00,17,8.44,128.21,Auto
3815,65.64,3,9.85,3,54.50,66.96,CC
3816,140.93,6,42.28,3,13.08,141.62,CC
3817,182.80,0,0.00,17,0.00,182.80,Auto
3818,141.62,2,14.17,17,24.87,143.25,CC
3819,83.90,0,0.00,3,11.15,84.21,Auto
3820,83.74,9,37.69,3,0.00,84.07,CC
3821,144.07,0,0.00,17,0.00,144.07,Auto
3822,84.88,1,4.25,17,0.00,85.00,CC
3823,63.63,0,0.00,3,0.00,63.63,CC
3824,172.00,3,25.80,17,2.56,172.33,ACH
3825,69.50,0,0.00,17,2.10,69.55,Auto
3826,103.52,0,0.00,3,0.00,103.52,Auto
3827,40.96,0,0.00,3,8.07,45.00,CC
3828,103.15,0,0.00,3,56.75,104.99,Auto
3829,84.06,1,4.21,3,0.00,84.31,PP
3830,69.45,0,0.00,17,2.94,69.49,Auto
3831,83.93,0,0.00,17,18.23,84.76,CC
3832,110.44,0,0.00,17,6.15,110.52,Auto
3833,175.44,0,0.00,17,0.00,175.44,Auto
3834,179.19,9,80.64,3,0.00,179.90,CC
3835,89.05,0,0.00,17,54.61,92.96,CC
3836,117.04,14,81.93,3,0.00,118.06,CK
3837,87.20,1,4.36,3,45.86,89.21,ACH
3838,122.90,0,0.00,3,38.82,123.47,Auto
3839,140.60,5,35.15,3,0.00,141.08,ACH
3840,62.78,0,0.00,17,0.00,62.78,Auto
3841,109.97,0,0.00,17,0.00,109.97,PP
3842,62.20,1,3.11,3,14.06,62.99,CC
3843,84.09,2,8.41,3,48.39,85.77,CC
3844,103.32,3,15.50,3,0.00,103.73,CC
3845,101.11,0,0.00,3,9.63,103.04,Auto
3846,104.65,0,0.00,17,0.00,104.65,Auto
3847,80.13,6,24.04,3,54.22,81.15,ACH
3848,102.62,3,15.40,17,0.00,102.90,CC
3849,172.41,6,51.73,17,50.71,173.80,ACH
3850,171.47,7,60.02,17,0.00,172.08,ACH
3851,177.00,2,17.70,17,0.00,177.40,CC
3852,46.16,0,0.00,17,0.92,46.20,Auto
3853,145.05,0,0.00,17,10.72,147.73,CK
3854,61.43,0,0.00,3,28.91,62.04,Auto
3855,149.26,4,29.86,17,22.07,150.09,CC
3856,103.91,3,15.59,3,0.00,104.23,CC
3857,48.04,0,0.00,17,0.00,48.04,PP
3858,40.34,0,0.00,17,0.00,40.34,PP
3859,83.75,7,29.32,3,0.00,84.06,CC
3860,126.63,0,0.00,3,53.11,128.53,Auto
3861,87.64,6,26.30,3,43.84,88.57,CC
3862,149.23,0,0.00,17,12.52,149.74,CC
3863,179.88,0,0.00,17,43.95,181.64,ACH
3864,112.39,5,28.10,3,50.55,113.62,CC
3865,114.22,0,0.00,3,47.86,118.58,CC
3866,105.47,0,0.00,3,23.57,110.19,CC
3867,81.46,4,16.30,3,6.98,81.89,CC
3868,167.40,2,16.74,3,6.05,168.12,CC
3869,87.80,1,4.39,17,0.00,88.02,CC
3870,118.33,7,41.42,17,57.22,119.46,CC
3871,67.33,6,20.20,3,39.31,68.09,CC
3872,103.75,0,0.00,17,7.99,111.74,Auto
3873,64.05,3,9.61,3,20.53,64.74,CC
3874,85.20,0,0.00,3,0.00,85.20,Auto
3875,98.60,0,0.00,17,46.08,121.64,Auto
3876,82.37,0,0.00,17,33.17,82.97,Auto
3877,80.69,0,0.00,3,14.20,80.86,Auto
3878,103.75,1,5.19,3,0.00,103.99,CC
3879,64.26,3,9.64,17,0.00,64.40,CC
3880,87.39,6,26.22,17,40.22,88.39,CC
3881,111.49,8,44.60,3,40.46,112.30,CC
3882,118.79,18,106.92,17,5.90,119.90,CK
3883,263.60,5,65.90,17,0.00,265.60,CK
3884,175.08,4,35.02,17,57.48,176.90,PP
3885,173.65,8,69.46,3,0.00,174.32,CC
3886,64.70,0,0.00,17,0.00,64.70,CC
3887,141.69,0,0.00,3,0.00,141.69,Auto
3888,40.81,2,4.09,3,0.00,40.93,CC
3889,121.51,0,0.00,17,32.45,122.33,CC
3890,100.47,1,5.03,3,0.00,100.69,PP
3891,83.30,8,33.32,3,0.00,83.63,CC
3892,44.55,7,15.60,3,0.00,44.73,ACH
3893,109.50,0,0.00,17,0.00,109.50,CC
3894,47.78,1,2.39,17,26.57,49.59,CC
3895,64.75,0,0.00,17,0.00,64.75,PP
3896,176.41,3,26.47,17,0.00,176.78,CC
3897,100.40,1,5.02,17,0.00,100.46,PP
3898,110.24,0,0.00,3,0.00,110.24,Auto
3899,89.29,0,0.00,3,0.00,89.29,Auto
3900,44.45,0,0.00,3,38.18,47.93,CC
3901,118.23,1,5.92,3,0.00,118.55,PP
3902,69.79,0,0.00,17,30.34,72.83,CC
3903,81.11,0,0.00,17,0.00,81.11,PP
3904,96.90,0,0.00,3,27.66,101.51,Auto
3905,123.01,4,24.61,17,0.00,123.32,CC
3906,46.20,5,11.55,17,0.00,46.33,CC
3907,170.62,2,17.07,17,0.00,170.95,ACH
3908,81.84,4,16.37,17,0.00,82.17,CC
3909,117.02,10,58.51,3,0.00,117.98,CK
3910,88.74,2,8.88,17,23.89,89.71,CC
3911,82.58,0,0.00,17,38.11,85.52,Auto
3912,108.60,0,0.00,17,0.00,108.60,Auto
3913,40.14,1,2.01,17,0.00,40.21,CC
3914,80.05,3,12.01,17,0.00,80.35,CC
3915,124.73,0,0.00,17,27.36,125.11,Auto
3916,113.06,1,5.66,3,0.00,113.36,CC
3917,127.45,1,6.38,17,16.39,128.24,CC
3918,104.99,0,0.00,3,11.31,106.61,PP
3919,69.98,0,0.00,3,57.07,75.17,Auto
3920,176.33,2,17.64,3,0.00,176.89,ACH
3921,122.94,0,0.00,17,0.00,122.94,Auto
3922,84.48,0,0.00,17,42.51,86.19,Auto
3923,81.55,0,0.00,17,1.65,81.70,CC
3924,119.72,4,23.95,3,0.00,120.15,CC
3925,144.54,19,137.32,3,44.31,146.21,CK
3926,99.10,2,9.91,17,28.48,100.17,CC
3927,115.90,0,0.00,17,28.36,121.58,CC
3928,68.68,0,0.00,17,0.00,68.68,Auto
3929,86.91,3,13.04,3,0.00,87.23,CC
3930,48.63,0,0.00,3,0.00,48.63,Auto
3931,84.60,0,0.00,17,0.00,84.60,CC
3932,111.38,9,50.13,17,0.00,111.86,CC
3933,126.98,0,0.00,3,1.45,127.01,Auto
3934,114.06,3,17.11,17,46.64,115.51,ACH
3935,117.49,4,23.50,17,0.00,117.94,CC
3936,102.01,0,0.00,3,5.95,102.22,Auto
3937,118.32,2,11.84,17,23.50,119.50,CC
3938,81.60,0,0.00,3,53.74,82.77,Auto
3939,171.11,0,0.00,17,0.00,171.11,CC
3940,107.76,5,26.94,3,37.54,108.79,CC
3941,115.09,0,0.00,3,0.00,115.09,CC
3942,172.83,4,34.57,17,0.00,174.28,CK
3943,108.94,9,49.03,3,34.46,109.68,CC
3944,225.40,7,78.89,3,13.64,226.40,CC
3945,124.57,0,0.00,17,0.00,124.57,Auto
3946,83.86,0,0.00,17,50.28,85.96,PP
3947,43.29,0,0.00,17,54.20,47.17,CC
3948,83.80,5,20.95,17,0.00,84.08,CC
3949,68.49,1,3.43,3,0.68,68.69,CC
3950,45.87,0,0.00,3,0.00,45.87,Auto
3951,87.35,0,0.00,3,0.00,87.35,Auto
3952,112.49,1,5.63,17,53.96,115.63,CC
3953,46.19,0,0.00,17,13.70,46.37,Auto
3954,124.46,1,6.23,3,0.00,124.94,CC
3955,101.33,0,0.00,3,0.00,101.33,Auto
3956,89.60,0,0.00,3,0.00,89.60,Auto
3957,178.86,0,0.00,17,41.12,179.95,CC
3958,80.71,1,4.04,3,0.00,81.03,CC
3959,117.57,5,29.40,17,0.00,118.03,CC
3960,100.74,0,0.00,3,32.94,105.45,Auto
3961,73.80,3,11.07,17,39.65,75.18,CC
3962,83.12,1,4.16,17,0.00,83.59,CK
3963,111.96,0,0.00,17,19.19,112.20,Auto
3964,60.58,2,6.06,3,0.00,60.75,PP
3965,81.00,2,8.10,3,45.68,82.86,CC
3966,69.11,0,0.00,3,19.56,69.54,Auto
3967,175.97,8,70.39,17,36.70,176.99,CC
3968,82.94,0,0.00,3,0.00,82.94,Auto
3969,81.89,0,0.00,17,0.00,81.89,CC
3970,43.91,0,0.00,3,53.30,44.94,Auto
3971,125.79,0,0.00,17,0.00,125.79,Auto
3972,114.76,1,5.74,17,0.00,115.04,CC
3973,129.90,17,110.42,17,0.00,131.01,CK
3974,124.58,2,12.46,3,9.37,125.19,CC
3975,103.74,0,0.00,17,10.02,104.66,PP
3976,184.30,0,0.00,3,0.00,184.30,Auto
3977,68.66,1,3.44,17,0.00,68.81,CC
3978,170.79,1,8.54,17,12.85,171.01,CC
3979,110.14,6,33.05,3,42.22,111.10,PP
3980,109.05,1,5.46,17,0.00,109.15,CC
3981,85.40,4,17.08,3,1.63,85.71,CC
3982,125.60,0,0.00,17,0.00,125.60,Auto
3983,104.44,0,0.00,17,37.45,105.65,Auto
3984,171.88,13,111.73,3,0.00,173.36,CK
3985,103.78,0,0.00,17,13.21,103.96,Auto
3986,125.70,1,6.29,3,0.00,125.97,CC
3987,88.86,0,0.00,17,0.00,88.86,Auto
3988,47.35,0,0.00,3,0.00,47.35,Auto
3989,107.61,9,48.43,3,0.00,108.03,CC
3990,119.77,0,0.00,3,0.00,119.77,CC
3991,176.38,19,167.57,17,0.00,177.91,CK
3992,87.14,2,8.72,3,53.19,88.82,CC
3993,44.53,0,0.00,17,6.87,44.63,Auto
3994,67.66,0,0.00,17,0.00,67.66,PP
3995,88.73,0,0.00,3,54.94,99.72,Auto
3996,149.56,0,0.00,17,0.00,149.56,Auto
3997,113.00,1,5.65,17,33.65,113.65,CC
3998,201.30,5,50.33,3,14.86,202.31,CC
3999,45.03,0,0.00,17,27.48,45.50,CC
4000,89.95,0,0.00,17,2.71,90.11,Auto
4001,108.49,0,0.00,3,43.11,110.22,Auto
4002,126.45,5,31.62,17,0.00,126.75,PP
4003,62.48,2,6.25,3,3.94,62.85,CC
4004,42.66,0,0.00,17,0.00,42.66,Auto
4005,87.34,6,26.21,3,0.00,87.65,CC
4006,88.06,8,35.23,3,51.85,88.91,CC
4007,85.99,4,17.20,3,0.00,86.31,CC
4008,60.38,3,9.06,3,46.69,61.85,PP
4009,109.61,0,0.00,17,0.00,109.61,Auto
4010,87.66,0,0.00,3,0.00,87.66,Auto
4011,44.37,3,6.66,3,0.00,44.53,ACH
4012,173.64,5,43.41,3,2.53,174.26,CC
4013,122.90,1,6.15,17,30.65,124.50,CC
4014,145.60,5,36.40,17,0.00,146.15,CC
4015,110.80,0,0.00,3,0.00,110.80,PP
4016,173.51,20,173.51,3,0.00,175.06,CK
4017,62.27,0,0.00,17,0.00,62.27,CC
4018,145.52,4,29.11,17,0.00,145.91,CC
4019,49.14,0,0.00,17,0.00,49.14,Auto
4020,40.33,0,0.00,17,0.00,40.33,Auto
4021,105.00,0,0.00,17,0.00,105.00,CC
4022,114.80,7,40.18,17,6.46,115.31,CC
4023,48.68,5,12.17,3,50.05,49.60,CC
4024,84.29,0,0.00,17,54.64,85.43,Auto
4025,145.46,2,14.55,3,0.00,145.95,CC
4026,119.80,3,17.97,3,6.54,120.34,CC
4027,85.24,8,34.10,17,0.00,85.59,CC
4028,156.30,0,0.00,3,0.00,156.30,CC
4029,82.10,0,0.00,3,6.35,82.19,Auto
4030,69.89,0,0.00,3,0.00,69.89,Auto
4031,125.24,0,0.00,3,6.87,125.31,Auto
4032,109.11,9,49.10,3,12.26,109.64,CC
4033,140.36,3,21.06,17,4.79,141.03,CC
4034,103.04,1,5.16,3,44.32,105.11,CC
4035,128.08,2,12.81,3,0.00,128.53,CC
4036,143.50,0,0.00,3,44.94,154.74,CC
4037,46.96,2,4.70,17,42.75,48.45,CC
4038,143.08,6,42.93,3,0.00,143.58,PP
4039,61.45,0,0.00,3,33.06,61.75,Auto
4040,41.52,0,0.00,17,26.64,42.01,Auto
4041,144.81,4,28.97,17,0.00,145.13,CC
4042,146.43,1,7.33,17,0.00,146.61,CC
4043,174.71,0,0.00,17,0.00,174.71,Auto
4044,125.76,0,0.00,3,12.52,126.31,Auto
4045,80.74,2,8.08,3,14.63,81.43,CC
4046,82.56,0,0.00,3,40.27,83.12,Auto
4047,65.92,1,3.30,17,59.26,66.77,PP
4048,82.90,0,0.00,3,46.41,83.78,Auto
4049,171.70,3,25.76,17,5.08,172.17,PP
4050,100.34,0,0.00,3,0.00,100.34,Auto
4051,86.25,0,0.00,17,34.58,86.64,Auto
4052,117.25,7,41.04,3,0.00,117.72,CC
4053,60.83,0,0.00,17,0.00,60.83,CC
4054,175.62,0,0.00,17,17.44,175.80,Auto
4055,82.23,4,16.45,17,0.00,82.50,ACH
4056,109.21,0,0.00,17,36.72,109.63,Auto
4057,89.56,0,0.00,17,29.11,90.01,CC
4058,88.65,20,88.65,17,0.00,89.44,CK
4059,110.83,0,0.00,3,0.00,110.83,Auto
4060,175.50,4,35.10,3,0.00,176.15,CC
4061,47.31,6,14.20,17,35.81,47.88,PP
4062,152.20,0,0.00,17,34.29,152.92,Auto
4063,60.33,19,57.32,3,0.00,60.86,CK
4064,141.38,0,0.00,3,0.00,141.38,Auto
4065,144.00,0,0.00,17,0.00,144.00,PP
4066,40.22,0,0.00,3,38.45,49.84,CC
4067,129.74,0,0.00,17,0.00,129.74,PP
4068,129.00,9,58.05,17,46.92,129.97,CC
4069,80.64,3,12.10,3,0.00,80.91,PP
4070,178.40,2,17.84,3,0.00,179.52,CK
4071,41.64,19,39.56,3,25.73,42.24,CK
4072,120.33,6,36.10,3,0.00,120.78,CC
4073,176.13,4,35.23,17,0.00,176.49,CC
4074,111.14,6,33.35,17,34.07,112.12,ACH
4075,105.95,0,0.00,17,10.58,106.30,CC
4076,126.77,0,0.00,3,0.00,126.77,Auto
4077,82.13,2,8.22,17,0.00,82.44,CC
4078,85.26,19,81.00,3,0.00,86.00,CK
4079,45.25,3,6.79,3,8.49,45.59,CC
4080,43.71,0,0.00,17,25.64,56.53,Auto
4081,69.50,2,6.95,3,0.00,69.71,CC
4082,106.06,0,0.00,17,20.13,107.74,Auto
4083,68.86,0,0.00,3,40.13,69.32,Auto
4084,176.13,2,17.62,3,33.50,177.90,CC
4085,81.93,8,32.78,3,0.00,82.24,CC
4086,179.50,4,35.90,17,0.00,180.21,CC
4087,87.77,0,0.00,3,23.95,99.75,Auto
4088,84.90,0,0.00,17,32.64,85.28,Auto
4089,105.00,0,0.00,17,0.00,105.00,Auto
4090,82.73,0,0.00,17,14.66,82.86,Auto
4091,88.23,1,4.42,17,0.00,88.73,CK
4092,122.94,14,86.06,17,0.00,123.98,CK
4093,125.23,11,68.88,3,0.00,126.28,CK
4094,119.48,1,5.98,17,0.00,119.61,CC
4095,81.83,2,8.19,17,34.22,82.74,CC
4096,100.39,1,5.02,3,24.68,102.52,CC
4097,80.28,0,0.00,17,0.00,80.28,Auto
4098,40.95,0,0.00,3,0.00,40.95,Auto
4099,122.17,0,0.00,3,35.48,124.54,Auto
4100,178.50,15,133.88,17,0.00,180.10,CK
4101,89.47,2,8.95,3,0.00,89.73,PP
4102,108.62,5,27.16,3,0.00,109.03,PP
4103,163.30,6,48.99,3,0.00,163.93,CC
4104,120.26,16,96.21,3,19.99,121.54,CK
4105,63.68,19,60.50,3,0.00,64.23,CK
4106,204.10,0,0.00,3,0.00,204.10,Auto
4107,44.59,0,0.00,17,10.99,44.71,Auto
4108,115.40,3,17.31,3,0.00,115.79,CC
4109,123.82,0,0.00,3,39.21,124.19,Auto
4110,84.47,2,8.45,17,21.08,85.09,CC
4111,117.75,0,0.00,3,22.16,118.00,Auto
4112,83.65,0,0.00,3,55.66,111.48,CC
4113,64.50,0,0.00,17,33.88,67.33,PP
4114,83.60,0,0.00,3,0.00,83.60,Auto
4115,105.72,0,0.00,3,44.00,107.92,Auto
4116,117.40,0,0.00,3,24.44,117.74,Auto
4117,89.78,1,4.49,17,0.00,90.03,CC
4118,171.87,0,0.00,3,0.00,171.87,Auto
4119,84.81,4,16.97,3,6.03,85.23,ACH
4120,87.35,9,39.31,3,55.15,88.16,CC
4121,147.29,0,0.00,3,0.00,147.29,Auto
4122,174.34,11,95.89,3,22.56,176.14,CK
4123,140.73,7,49.26,3,29.72,141.58,CC
4124,46.07,0,0.00,3,11.93,46.43,Auto
4125,116.09,0,0.00,17,0.00,116.09,Auto
4126,123.44,0,0.00,3,0.00,123.44,Auto
4127,67.57,1,3.38,17,0.00,67.70,PP
4128,100.89,0,0.00,17,0.00,100.89,CC
4129,46.22,0,0.00,3,0.00,46.22,Auto
4130,68.95,7,24.14,3,41.52,69.68,ACH
4131,172.75,10,86.38,17,20.06,174.53,CK
4132,43.27,7,15.15,3,0.00,43.43,CC
4133,61.63,1,3.09,17,0.00,61.74,PP
4134,83.36,3,12.51,17,0.00,83.52,CC
4135,149.61,1,7.49,3,41.00,152.47,CC
4136,125.99,0,0.00,17,0.00,125.99,Auto
4137,110.21,6,33.07,17,22.15,110.84,ACH
4138,118.57,19,112.65,17,0.00,119.62,CK
4139,67.61,3,10.15,3,0.00,67.82,PP
4140,60.12,9,27.06,3,27.91,60.59,CC
4141,141.41,0,0.00,3,0.00,141.41,Auto
4142,80.52,0,0.00,17,0.00,80.52,CC
4143,129.55,0,0.00,3,15.09,144.64,ACH
4144,84.59,1,4.23,17,0.00,84.74,PP
4145,62.91,5,15.73,3,46.61,63.86,CC
4146,89.74,0,0.00,17,0.00,89.74,Auto
4147,117.93,8,47.18,3,57.37,118.97,ACH
4148,86.87,2,8.69,3,0.00,87.11,CC
4149,121.22,3,18.19,3,0.00,121.69,CC
4150,67.62,0,0.00,3,0.00,67.62,CC
4151,58.70,0,0.00,3,0.00,58.70,CC
4152,81.05,1,4.06,3,0.00,81.24,PP
4153,126.33,5,31.59,3,0.00,126.82,ACH
4154,143.11,0,0.00,17,0.00,143.11,CC
4155,116.80,0,0.00,17,44.49,121.75,Auto
4156,43.93,14,30.76,3,51.28,44.96,CK
4157,113.44,2,11.35,3,1.44,113.94,CC
4158,41.04,4,8.21,3,52.76,42.15,CC
4159,122.70,4,24.54,3,49.27,124.07,CC
4160,80.85,5,20.22,17,0.00,81.11,CC
4161,69.61,0,0.00,17,0.00,69.61,Auto
4162,93.20,17,79.22,3,0.00,94.02,CK
4163,64.92,0,0.00,17,0.00,64.92,Auto
4164,128.58,0,0.00,3,44.34,129.14,Auto
4165,179.39,0,0.00,17,0.00,179.39,Auto
4166,45.78,0,0.00,17,53.79,48.35,Auto
4167,172.63,4,34.53,3,15.20,173.46,CC
4168,117.96,0,0.00,3,0.00,117.96,Auto
4169,63.44,0,0.00,17,0.00,63.44,CC
4170,175.41,1,8.78,3,0.00,175.78,CC
4171,89.13,3,13.37,17,0.00,89.27,CC
4172,126.94,0,0.00,17,0.00,126.94,Auto
4173,41.55,1,2.08,3,0.00,41.68,PP
4174,86.23,0,0.00,17,0.00,86.23,CC
4175,177.09,0,0.00,17,8.50,177.50,CC
4176,43.46,16,34.77,17,53.08,44.45,CK
4177,61.53,6,18.46,3,0.00,61.76,CC
4178,121.37,0,0.00,17,0.00,121.37,PP
4179,122.50,0,0.00,17,29.76,123.18,Auto
4180,88.14,7,30.85,17,16.19,89.35,CK
4181,40.54,0,0.00,17,0.00,40.54,PP
4182,140.54,1,7.03,3,6.37,141.18,CC
4183,104.87,6,31.47,3,0.00,105.25,CC
4184,140.26,4,28.06,3,0.00,140.76,CC
4185,195.50,0,0.00,17,39.69,202.12,PP
4186,83.24,3,12.49,17,0.00,83.37,CC
4187,82.71,7,28.95,17,0.00,83.42,CK
4188,64.96,0,0.00,3,0.00,64.96,CC
4189,103.50,3,15.53,3,0.00,103.84,PP
4190,44.41,0,0.00,17,0.00,44.41,Auto
4191,68.87,1,3.45,3,59.80,71.51,CC
4192,68.55,0,0.00,3,0.00,68.55,Auto
4193,42.89,1,2.15,17,33.41,45.86,CC
4194,43.46,1,2.18,3,28.22,44.91,PP
4195,86.96,1,4.35,17,0.00,87.06,CC
4196,82.34,0,0.00,3,33.33,85.37,Auto
4197,113.67,6,34.11,3,0.00,114.12,CC
4198,87.50,7,30.63,3,18.26,88.00,CC
4199,144.11,0,0.00,3,0.00,144.11,Auto
4200,85.70,2,8.57,17,0.00,85.78,CC
4201,176.81,4,35.37,17,47.44,177.86,CC
4202,47.23,0,0.00,3,13.49,47.44,Auto
4203,42.77,2,4.28,3,0.00,42.90,PP
4204,176.99,7,61.95,17,26.31,177.87,ACH
4205,116.44,1,5.83,17,0.00,116.70,PP
4206,176.73,0,0.00,17,19.97,177.69,PP
4207,104.14,0,0.00,17,37.55,107.03,CC
4208,110.03,1,5.51,3,30.86,111.77,CC
4209,81.05,3,12.16,3,0.00,81.34,PP
4210,45.58,6,13.68,3,53.10,46.43,PP
4211,85.81,8,34.33,3,3.11,86.19,CC
4212,87.05,0,0.00,17,51.84,91.37,CC
4213,103.83,0,0.00,3,54.00,106.68,Auto
4214,69.49,6,20.85,17,43.02,70.06,CC
4215,129.61,0,0.00,17,0.00,129.61,Auto
4216,89.86,1,4.50,17,5.80,90.29,CC
4217,104.28,7,36.50,3,11.70,104.81,ACH
4218,66.95,1,3.35,17,26.78,71.26,CK
4219,41.12,3,6.17,3,0.00,41.25,CC
4220,68.80,0,0.00,3,0.00,68.80,Auto
4221,80.48,2,8.05,3,0.00,80.79,PP
4222,124.63,5,31.16,17,56.15,125.78,CC
4223,119.75,5,29.94,3,0.00,120.75,CK
4224,147.60,0,0.00,17,15.55,147.83,Auto
4225,103.41,0,0.00,17,36.35,115.53,CC
4226,172.28,6,51.69,17,0.00,173.01,ACH
4227,48.03,0,0.00,3,0.00,48.03,Auto
4228,196.90,3,29.54,3,0.00,197.66,CC
4229,41.16,3,6.18,3,48.20,42.32,ACH
4230,110.50,0,0.00,17,0.00,110.50,Auto
4231,127.70,0,0.00,3,0.00,127.70,Auto
4232,193.00,0,0.00,3,0.00,193.00,Auto
4233,43.65,0,0.00,17,0.00,43.65,CC
4234,148.11,5,37.03,3,13.06,148.91,PP
4235,139.40,1,6.97,17,0.00,139.72,PP
4236,40.34,3,6.06,3,0.00,40.49,PP
4237,82.70,3,12.41,3,0.00,83.01,CC
4238,41.58,0,0.00,17,40.29,43.20,PP
4239,84.70,13,55.06,17,0.00,85.44,CK
4240,177.07,0,0.00,17,0.00,177.07,CC
4241,101.81,0,0.00,3,0.00,101.81,Auto
4242,81.07,4,16.22,3,0.00,81.70,CK
4243,87.92,2,8.80,17,28.56,88.59,CC
4244,123.63,0,0.00,17,48.63,125.58,Auto
4245,126.92,6,38.08,17,20.96,127.74,CC
4246,83.74,20,83.74,17,0.00,84.49,CK
4247,89.16,0,0.00,3,39.38,97.04,CC
4248,41.18,19,39.13,17,0.00,41.54,CK
4249,47.20,0,0.00,17,0.00,47.20,CC
4250,42.79,0,0.00,3,21.40,43.69,Auto
4251,209.80,5,52.45,17,0.00,210.30,CC
4252,40.86,0,0.00,3,0.00,40.86,Auto
4253,177.07,0,0.00,17,52.88,178.22,Auto
4254,182.50,0,0.00,17,0.00,182.50,Auto
4255,69.72,3,10.46,3,0.00,69.97,CC
4256,69.04,0,0.00,3,7.14,72.61,ACH
4257,84.70,0,0.00,17,12.73,91.07,CC
4258,142.13,0,0.00,3,0.00,142.13,Auto
4259,66.93,2,6.70,17,46.86,67.69,CC
4260,89.69,0,0.00,3,0.00,89.69,PP
4261,145.87,0,0.00,17,23.63,146.69,CC
4262,116.29,9,52.34,3,0.00,116.75,ACH
4263,44.68,0,0.00,17,14.39,46.48,PP
4264,107.28,0,0.00,3,0.00,107.28,Auto
4265,111.04,0,0.00,3,0.00,111.04,Auto
4266,101.49,0,0.00,3,2.97,102.09,Auto
4267,141.70,3,21.26,3,34.21,143.06,CC
4268,41.73,0,0.00,3,48.51,49.82,Auto
4269,147.78,17,125.62,17,26.68,149.34,CK
4270,82.45,1,4.13,3,18.65,84.99,CK
4271,87.70,5,21.93,17,48.97,90.24,CK
4272,80.31,4,16.07,3,36.45,81.34,CC
4273,123.30,0,0.00,3,0.00,123.30,Auto
4274,121.76,0,0.00,3,0.00,121.76,Auto
4275,172.77,0,0.00,17,0.00,172.77,Auto
4276,109.95,0,0.00,17,39.00,110.51,PP
4277,177.88,0,0.00,17,0.00,177.88,CC
4278,89.79,0,0.00,17,0.00,89.79,CC
4279,106.04,0,0.00,17,34.34,106.55,Auto
4280,101.67,2,10.17,3,0.00,102.01,CC
4281,62.33,0,0.00,3,29.58,66.03,CC
4282,89.11,5,22.28,3,0.00,89.47,CC
4283,45.08,16,36.07,17,59.76,46.15,CK
4284,141.04,0,0.00,17,0.00,141.04,Auto
4285,173.60,5,43.40,17,0.00,174.35,CC
4286,113.02,0,0.00,17,0.00,113.02,Auto
4287,115.97,0,0.00,3,1.93,116.04,Auto
4288,83.02,2,8.31,17,0.00,83.26,CC
4289,114.79,7,40.18,3,0.00,115.77,CK
4290,170.52,0,0.00,3,0.00,170.52,Auto
4291,64.37,0,0.00,17,14.19,65.12,CC
4292,151.60,0,0.00,3,0.00,151.60,Auto
4293,46.86,0,0.00,17,0.00,46.86,PP
4294,56.50,0,0.00,3,48.25,57.43,Auto
4295,148.63,7,52.03,17,48.26,149.83,CC
4296,85.94,0,0.00,3,0.00,85.94,Auto
4297,68.07,3,10.22,3,41.08,69.42,CC
4298,122.90,1,6.15,17,22.09,123.48,CC
4299,61.47,0,0.00,17,0.00,61.47,CC
4300,129.94,4,25.99,3,0.00,130.44,CC
4301,45.27,1,2.27,17,0.00,45.31,CC
4302,112.93,0,0.00,3,39.62,126.14,Auto
4303,48.04,2,4.81,3,6.19,48.42,PP
4304,80.88,2,8.09,3,0.00,81.12,CC
4305,85.06,1,4.26,17,30.11,86.50,CC
4306,177.73,19,168.85,3,58.21,179.86,CK
4307,112.33,1,5.62,17,0.00,112.54,ACH
4308,89.04,0,0.00,17,0.00,89.04,Auto
4309,166.90,0,0.00,3,0.00,166.90,Auto
4310,105.27,1,5.27,17,44.30,113.54,CK
4311,87.92,1,4.40,3,0.00,88.22,CC
4312,172.38,6,51.72,3,0.00,173.07,CC
4313,174.70,0,0.00,17,24.61,175.01,CC
4314,49.01,0,0.00,17,51.03,49.66,Auto
4315,119.49,14,83.65,3,24.65,120.85,CK
4316,46.74,0,0.00,17,56.51,50.07,CC
4317,80.34,8,32.14,17,0.00,81.03,CK
4318,48.74,2,4.88,3,2.50,48.98,CC
