ID,Gender,MaritalStatus,NumChildren,EstIncome,CarOwner,Age,MonthsAsCustomer,MemberShipPlan
2353,M,Single,1,54653,N,23,68,Unlimited
2354,F,Married,0,76522,Y,50,115,Family Silver
2355,F,Single,2,38567,N,22,10,Unlimited
2356,F,Married,1,715858,Y,51,11,Family Military
2357,F,Married,2,41008,N,27,103,Family Gold
2358,F,Single,0,97663,Y,26,20,Platinum
2359,M,Single,1,112829,Y,29,92,Silver
2360,M,Married,2,23766,Y,27,108,Family Silver
2361,F,Single,1,303797,Y,24,42,Silver
2362,F,Single,0,338929,Y,20,14,Silver
2363,M,Single,1,80226,Y,28,87,Silver
2364,F,Single,1,2953,N,28,105,Gold
2365,F,Single,1,27244,N,29,1,Gold
2366,F,Married,1,333,Y,51,73,Family Gold
2367,F,Married,0,15556,Y,74,11,Family Gold
2368,F,Single,0,18951,Y,21,39,Gold
2369,F,Married,6,99326,Y,26,47,Family Gold
2370,M,Married,5,45349,N,49,2,Family Unlimited
2371,M,Single,0,630053,Y,25,16,Platinum
2372,F,Single,0,85770,Y,72,20,Platinum
2373,M,Married,0,80608,Y,48,7,Family Gold
2374,F,Married,0,8521,Y,42,62,Family Gold
2375,F,Single,0,56327,Y,21,47,Platinum
2376,M,Married,2,37428,Y,44,13,Family Gold
2377,M,Single,1,82944,Y,24,17,Platinum
2378,F,Single,0,237509,Y,25,4,Platinum
2379,F,Single,0,22448,Y,23,68,Gold
2380,F,Single,0,55920,Y,28,29,Unlimited
2381,M,Single,2,50335,Y,27,43,Unlimited
2382,N,Married,0,77835,Y,49,69,Family Unlimited
2383,M,Married,2,55430,Y,34,43,Family Military
2384,F,Married,0,37173,N,68,82,Family Silver
2385,M,Single,1,88000,N,22,49,Platinum
2386,F,Single,2,99569,Y,21,10,Gold
2387,F,Married,0,81479,Y,50,102,Family Gold
2388,F,Married,0,64624,Y,46,90,Family Gold
2389,M,Single,0,4889,Y,82,38,Gold
2390,F,Married,1,91319,Y,48,73,Family Unlimited
2391,F,Single,0,43631,N,24,58,Unlimited
2392,F,Married,0,642331,Y,48,103,Family Silver
2393,M,Married,0,38098,Y,29,72,Family Unlimited
2394,M,Single,0,27937,Y,23,66,Unlimited
2395,F,Single,0,143055,Y,27,105,Unlimited
2396,M,Single,1,21015,Y,18,6,Unlimited
2397,M,Single,1,95964,N,30,98,Unlimited
2398,F,Single,0,120849,N,20,17,Unlimited
2399,F,Single,2,423824,Y,28,118,Silver
2400,M,Married,1,23860,Y,48,29,Family Unlimited
2401,F,Married,0,93851,Y,50,9,Family Platinum
2402,M,Married,2,62660,Y,49,48,Family Gold
2403,M,Single,0,47478,N,24,25,Gold
2404,F,Single,1,85388,N,23,8,Unlimited
2405,F,Single,6,58678,Y,26,17,Gold
2406,M,Married,2,82228,Y,48,101,Family Military
2407,M,Married,2,7910,Y,47,4,Family Platinum
2408,M,Married,0,72491,Y,23,2,Family Gold
2409,M,Single,0,86266,Y,20,14,Gold
2410,F,Married,1,77541,Y,24,47,Family Platinum
2411,M,Married,1,80223,N,36,59,Family Unlimited
2412,F,Married,0,25870,Y,23,44,Family Platinum
2413,M,Married,5,40880,Y,46,86,Family Platinum
2414,M,Married,0,53509,Y,46,4,Family Platinum
2415,M,Single,0,47645,N,23,61,Unlimited
2416,M,Married,1,98549,N,51,54,Family Platinum
2417,F,Single,0,11068,Y,28,26,Platinum
2418,F,Married,0,59955,Y,53,82,Family Platinum
2419,M,Single,0,24649,Y,30,66,Gold
2420,F,Married,0,22920,N,28,62,Family Unlimited
2421,F,Married,0,71511,N,34,40,Family Unlimited
2422,F,Single,1,62350,Y,24,23,Gold
2423,M,Single,2,26972,N,25,91,Silver
2424,F,Married,0,69445,Y,54,103,Family Silver
2425,M,Single,2,66620,Y,21,14,Unlimited
2426,F,Married,0,25523,Y,23,18,Family Silver
2427,F,Married,0,71095,Y,53,41,Family Gold
2428,F,Single,2,64140,N,25,55,Gold
2429,M,Single,2,79233,Y,18,4,Unlimited
2430,F,Married,2,57285,Y,28,9,Family Military
2431,M,Single,1,19576,N,29,67,Platinum
2432,M,Married,1,555865,Y,28,35,Family Gold
2433,F,Single,1,27571,Y,18,1,Gold
2434,M,Single,0,14715,N,65,5,Unlimited
2435,M,Single,0,53651,Y,30,25,Gold
2436,M,Married,0,31543,Y,40,114,Family Platinum
2437,M,Single,1,46949,N,27,36,Platinum
2438,F,Married,0,25098,N,48,83,Family Military
2439,F,Single,1,29923,N,21,44,Unlimited
2440,F,Single,1,98325,Y,30,43,Unlimited
2441,F,Married,5,20870,Y,29,83,Family Unlimited
2442,F,Married,0,26489,Y,56,106,Family Unlimited
2443,F,Single,0,74315,N,22,29,Unlimited
2444,F,Married,2,2371,N,26,79,Family Military
2445,F,Single,2,28852,N,19,5,Silver
2446,F,Single,0,773911,Y,25,58,Platinum
2447,M,Single,0,48,Y,22,9,Gold
2448,F,Married,0,89250,Y,47,96,Family Silver
2449,F,Married,2,1510,Y,44,107,Family Gold
2450,F,Married,2,74628,N,33,69,Family Military
2451,M,Single,1,53476,Y,30,52,Unlimited
2452,M,Single,1,39280,N,24,38,Unlimited
2453,M,Married,2,719422,Y,40,42,Family Gold
2454,F,Single,1,68446,Y,27,78,Gold
2455,F,Married,0,9982,N,54,59,Family Military
2456,F,Single,0,70261,N,18,11,Gold
2457,M,Married,1,82770,Y,29,62,Family Unlimited
2458,F,Single,0,76569,Y,22,45,Gold
2459,M,Single,0,77359,Y,20,16,Platinum
2460,M,Married,0,95317,Y,31,102,Family Unlimited
2461,F,Single,1,51677,Y,74,69,Platinum
2462,M,Married,1,482350,N,31,43,Family Military
2463,M,Single,0,21606,Y,30,71,Silver
2464,F,Single,2,94938,Y,20,26,Gold
2465,F,Married,0,16349,N,33,79,Family Military
2466,F,Married,1,49550,N,48,87,Family Unlimited
2467,M,Married,2,33095,Y,29,82,Family Gold
2468,F,Married,0,51012,N,40,48,Family Gold
2469,F,Single,0,26211,Y,40,104,Silver
2470,F,Married,0,30865,Y,58,112,Family Platinum
2471,F,Single,0,66780,N,21,15,Silver
2472,F,Single,0,35531,N,25,20,Unlimited
2473,M,Married,2,58995,N,27,36,Family Platinum
2474,M,Single,0,378376,Y,21,7,Platinum
2475,M,Single,1,41784,N,23,47,Unlimited
2476,M,Single,1,819762,Y,22,20,Unlimited
2477,F,Single,0,82206,Y,31,15,Platinum
2478,M,Married,2,52976,Y,52,119,Family Silver
2479,M,Married,1,21504,N,47,14,Family Silver
2480,F,Single,0,206174,Y,28,108,Unlimited
2481,M,Single,0,83111,N,30,37,Platinum
2482,F,Single,1,37153,Y,25,30,Unlimited
2483,M,Married,0,31914,Y,41,7,Family Unlimited
2484,F,Married,2,90808,N,23,6,Family Unlimited
2485,F,Married,1,66463,Y,31,3,Family Platinum
2486,F,Married,2,241183,Y,42,14,Family Unlimited
2487,M,Single,0,14274,Y,25,63,Platinum
2488,F,Single,1,54157,Y,21,22,Unlimited
2489,M,Married,0,50811,Y,44,14,Family Silver
2490,F,Married,0,45140,Y,43,98,Family Military
2491,F,Single,1,88626,N,20,32,Unlimited
2492,M,Married,1,29175,Y,49,24,Family Gold
2493,M,Married,0,51639,Y,43,1,Family Military
2494,F,Single,1,98337,N,30,15,Gold
2495,M,Married,1,16525,N,53,75,Family Platinum
2496,F,Married,0,39598,N,37,1,Family Military
2497,F,Single,0,77631,Y,21,41,Silver
2498,F,Married,0,51461,Y,30,105,Family Silver
2499,M,Single,0,38559,N,22,6,Platinum
2500,F,Single,1,89138,Y,29,40,Gold
2501,M,Single,0,47226,Y,28,44,Platinum
2502,F,Married,1,66891,N,34,14,Family Unlimited
2503,F,Single,1,98305,Y,27,45,Platinum
2504,F,Single,0,8563,Y,23,20,Unlimited
2505,M,Married,1,74873,N,43,106,Family Platinum
2506,F,Single,0,3327,Y,23,54,Platinum
2507,F,Single,1,96961,Y,27,31,Platinum
2508,M,Married,2,92278,N,43,25,Family Gold
2509,F,Married,4,79064,Y,42,115,Family Military
2510,F,Single,2,88723,Y,24,67,Gold
2511,M,Single,0,85624,Y,27,71,Gold
2512,F,Married,2,5253,Y,42,15,Family Silver
2513,F,Single,2,47227,N,18,9,Platinum
2514,M,Married,1,53970,Y,42,16,Family Military
2515,M,Married,0,911327,N,35,81,Family Unlimited
2516,M,Married,0,27048,Y,41,55,Family Unlimited
2517,M,Married,1,12140,N,28,61,Family Silver
2518,M,Married,1,74199,Y,40,114,Family Military
2519,F,Single,0,15376,Y,29,105,Gold
2520,F,Married,1,84602,Y,40,91,Family Military
2521,F,Single,0,168625,N,21,14,Silver
2522,M,Married,0,10183,N,44,30,Family Platinum
2523,M,Married,0,99996,Y,53,35,Family Silver
2524,M,Single,1,30272,Y,22,4,Gold
2525,F,Single,0,479380,Y,26,5,Platinum
2526,F,Single,1,79554,Y,26,106,Gold
2527,M,Single,0,14115,N,21,9,Gold
2528,M,Single,0,96090,Y,24,20,Gold
2529,M,Married,1,11365,Y,24,50,Family Silver
2530,F,Single,0,46817,N,25,64,Gold
2531,M,Married,1,74457,Y,47,4,Family Gold
2532,F,Married,0,99873,N,31,41,Family Platinum
2533,M,Married,0,43411,Y,24,63,Family Silver
2534,M,Married,1,15392,Y,35,18,Family Unlimited
2535,M,Single,1,67220,Y,27,95,Gold
2536,B,Single,1,67759,Y,23,1,Silver
2537,M,Married,2,26556,N,34,46,Family Military
2538,F,Single,0,87109,Y,25,32,Platinum
2539,F,Married,0,7962,Y,54,27,Family Silver
2540,M,Single,0,42197,Y,66,20,Unlimited
2541,M,Married,1,21599,N,50,85,Family Military
2542,F,Single,1,92978,Y,22,28,Gold
2543,M,Married,1,978898,Y,42,104,Family Platinum
2544,F,Single,1,22260,Y,24,56,Gold
2545,M,Married,6,81617,Y,30,38,Family Unlimited
2546,M,Single,0,24310,Y,21,23,Platinum
2547,M,Married,2,9940,Y,45,79,Family Unlimited
2548,F,Single,0,7122,N,20,22,Platinum
2549,M,Single,0,505,N,22,16,Platinum
2550,M,Single,2,30780,Y,21,26,Gold
2551,M,Married,1,22768,N,33,74,Family Gold
2552,F,Single,1,97766,N,20,29,Platinum
2553,F,Married,1,92776,N,42,116,Family Silver
2554,F,Married,2,54005,N,36,77,Family Silver
2555,M,Married,1,95878,N,50,2,Family Unlimited
2556,F,Single,2,70874,Y,24,24,Gold
2557,M,Single,1,549569,Y,19,14,Platinum
2558,F,Married,1,98685,Y,29,101,Family Gold
2559,M,Single,1,50581,Y,20,32,Gold
2560,F,Married,0,41432,N,34,110,Family Gold
2561,F,Single,0,427063,Y,24,43,Unlimited
2562,M,Single,1,75406,N,21,12,Silver
2563,F,Single,0,81882,Y,20,29,Gold
2564,M,Single,0,29326,Y,27,56,Platinum
2565,M,Married,1,92605,Y,47,117,Family Military
2566,F,Single,0,83598,N,26,40,Silver
2567,M,Married,2,43159,N,46,51,Family Unlimited
2568,M,Married,1,36716,Y,23,17,Family Platinum
2569,F,Single,2,93208,N,23,53,Unlimited
2570,F,Single,1,29911,N,18,2,Platinum
2571,F,Married,0,35697,Y,24,2,Family Platinum
2572,F,Single,1,51227,N,22,34,Silver
2573,M,Single,1,42264,Y,27,119,Unlimited
2574,F,Married,0,38728,Y,34,4,Family Platinum
2575,F,Single,0,98471,N,27,55,Platinum
2576,M,Single,0,78534,Y,18,1,Unlimited
2577,M,Single,1,78327,N,26,9,Unlimited
2578,M,Married,1,66431,N,32,17,Family Silver
2579,F,Single,0,21956,Y,27,85,Gold
2580,F,Married,8,19807,Y,49,30,Family Platinum
2581,F,Married,1,43548,Y,48,80,Family Military
2582,M,Married,1,65513,Y,32,8,Family Unlimited
2583,F,Single,0,141,Y,26,31,Platinum
2584,M,Married,0,57997,Y,52,16,Family Gold
2585,F,Single,0,71020,Y,21,4,Unlimited
2586,M,Married,0,47047,Y,35,39,Family Silver
2587,M,Single,0,1816,Y,26,96,Gold
2588,M,Married,3,112414,Y,28,73,Family Unlimited
2589,M,Married,0,88424,Y,69,35,Family Platinum
2590,M,Married,1,264243,N,37,16,Family Platinum
2591,F,Married,0,82054,Y,54,88,Family Silver
2592,F,Married,2,38433,Y,50,84,Family Platinum
2593,F,Single,0,48788,Y,20,28,Silver
2594,F,Single,0,16314,Y,20,23,Platinum
2595,M,Single,1,236206,N,30,27,Platinum
2596,F,Single,0,864947,Y,18,10,Platinum
2597,M,Single,0,847709,N,28,93,Platinum
2598,M,Married,0,13112,N,53,38,Family Platinum
2599,F,Single,1,36538,Y,18,7,Silver
2600,F,Married,1,87626,N,32,105,Family Military
2601,M,Married,0,15132,Y,26,105,Family Platinum
2602,F,Married,6,18423,N,31,103,Family Military
2603,M,Single,2,962249,N,30,39,Gold
2604,M,Married,2,18081,N,40,109,Family Unlimited
2605,M,Single,0,38037,Y,23,23,Silver
2606,F,Married,0,11896,Y,42,6,Family Platinum
2607,F,Single,1,82883,Y,23,27,Platinum
2608,F,Married,0,47295,N,25,75,Family Gold
2609,F,Single,0,64142,Y,18,1,Platinum
2610,M,Married,0,20700,Y,49,41,Family Silver
2611,F,Single,0,59953,Y,23,45,Gold
2612,M,Single,0,64674,N,28,112,Silver
2613,M,Married,2,41843,Y,48,24,Family Silver
2614,F,Married,0,110768,N,23,44,Family Military
2615,M,Married,1,45464,Y,49,118,Family Platinum
2616,M,Married,1,58119,Y,26,74,Family Gold
2617,M,Single,0,587180,Y,28,98,Silver
2618,F,Single,1,970041,Y,21,1,Unlimited
2619,F,Married,0,11416,N,43,19,Family Unlimited
2620,F,Married,0,24100,Y,44,119,Family Military
2621,M,Single,2,94944,Y,30,42,Silver
2622,F,Single,2,97883,Y,22,41,Silver
2623,F,Single,0,52770,Y,19,10,Gold
2624,F,Married,1,40552,Y,33,96,Family Unlimited
2625,M,Single,1,64286,Y,26,17,Gold
2626,M,Single,1,39693,Y,26,97,Silver
2627,M,Single,0,36282,Y,21,23,Silver
2628,M,Married,4,69231,Y,32,41,Family Unlimited
2629,F,Married,1,88341,N,53,15,Family Unlimited
2630,F,Single,0,55699,N,24,38,Gold
2631,M,Married,0,71566,Y,28,69,Family Unlimited
2632,F,Single,1,195028,Y,27,44,Platinum
2633,F,Married,1,43524,Y,36,14,Family Military
2634,F,Married,1,48560,N,54,41,Family Platinum
2635,M,Single,0,93244,Y,30,15,Unlimited
2636,M,Married,1,59446,Y,38,34,Family Unlimited
2637,M,Single,1,10391,N,23,42,Gold
2638,F,Married,8,81110,Y,41,12,Family Unlimited
2639,F,Married,0,43316,Y,31,11,Family Platinum
2640,M,Single,0,42471,Y,27,35,Gold
2641,M,Married,1,398558,N,52,113,Family Silver
2642,M,Single,0,235,Y,23,17,Platinum
2643,F,Married,2,14174,Y,51,91,Family Unlimited
2644,M,Single,0,56294,N,20,18,Platinum
2645,M,Married,1,72841,Y,49,18,Family Silver
2646,M,Single,2,2531,Y,24,15,Platinum
2647,F,Married,1,19839,Y,45,48,Family Platinum
2648,F,Single,1,94245,Y,25,86,Gold
2649,M,Married,2,78666,N,27,104,Family Military
2650,M,Single,0,30652,Y,29,7,Platinum
2651,F,Married,0,84220,Y,53,17,Family Gold
2652,F,Married,9,26536,Y,31,60,Family Unlimited
2653,F,Single,0,91213,N,47,24,Gold
2654,M,Married,1,42836,Y,41,58,Family Gold
2655,M,Single,1,57736,Y,28,106,Unlimited
2656,F,Single,1,89323,N,18,3,Unlimited
2657,M,Single,1,363684,Y,27,26,Silver
2658,M,Single,1,65247,Y,18,11,Platinum
2659,M,Married,1,44808,Y,40,70,Family Platinum
2660,F,Single,0,189004,Y,27,12,Unlimited
2661,F,Single,1,88306,N,25,81,Silver
2662,F,Single,0,78782,Y,19,9,Silver
2663,M,Married,0,86228,Y,33,89,Family Military
2664,M,Married,2,53188,Y,44,52,Family Gold
2665,F,Single,0,75301,Y,18,4,Unlimited
2666,F,Married,0,59988,Y,51,106,Family Silver
2667,M,Married,0,27955,N,24,41,Family Unlimited
2668,M,Married,1,88855,Y,34,52,Family Silver
2669,M,Married,2,51908,N,25,27,Family Unlimited
2670,F,Married,0,42468,Y,73,1,Family Silver
2671,F,Single,0,19043,Y,18,5,Gold
2672,F,Single,0,4083,Y,30,69,Platinum
2673,F,Married,0,1964,Y,24,60,Family Military
2674,M,Single,0,44465,Y,26,90,Silver
2675,F,Married,2,3333,Y,49,64,Family Military
2676,F,Married,1,35785,N,38,88,Family Platinum
2677,M,Single,6,44068,Y,26,21,Unlimited
2678,M,Single,0,282547,N,25,32,Silver
2679,F,Married,6,987518,N,52,54,Family Platinum
2680,F,Single,0,26790,Y,19,1,Platinum
2681,F,Single,2,765415,Y,24,39,Platinum
2682,F,Single,2,33294,Y,26,86,Silver
2683,F,Married,0,12626,Y,83,67,Family Silver
2684,M,Single,0,295644,Y,24,77,Platinum
2685,M,Single,0,6119,Y,23,17,Silver
2686,F,Single,1,43400,Y,29,115,Gold
2687,M,Single,2,36124,N,24,75,Gold
2688,M,Single,1,74769,Y,20,35,Platinum
2689,F,Married,1,26936,Y,41,51,Family Military
2690,M,Single,1,45020,N,27,52,Gold
2691,F,Single,0,87229,Y,25,96,Platinum
2692,M,Single,0,29825,N,21,33,Platinum
2693,F,Single,2,95592,Y,19,4,Unlimited
2694,M,Single,0,42730,N,33,6,Unlimited
2695,F,Married,8,66299,N,39,21,Family Platinum
2696,F,Married,0,13886,Y,39,95,Family Gold
2697,M,Single,0,625248,Y,28,28,Silver
2698,F,Single,0,26015,Y,18,11,Silver
2699,F,Single,0,38922,Y,22,42,Silver
2700,F,Single,1,65917,N,20,25,Unlimited
2701,M,Single,0,84857,N,19,15,Unlimited
2702,M,Married,0,39912,Y,53,45,Family Silver
2703,M,Single,0,98634,Y,24,44,Gold
2704,F,Married,8,88445,Y,27,11,Family Military
2705,M,Single,2,104835,Y,23,46,Silver
2706,F,Single,0,57450,Y,25,76,Unlimited
2707,F,Married,0,61191,Y,29,14,Family Unlimited
2708,F,Single,0,24624,N,24,16,Unlimited
2709,M,Single,1,87392,Y,18,10,Gold
2710,F,Single,0,95320,Y,21,18,Silver
2711,M,Single,0,5312,Y,71,99,Gold
2712,M,Married,0,6269,Y,26,59,Family Unlimited
2713,F,Single,1,36070,N,26,60,Unlimited
2714,M,Single,0,78512,Y,54,22,Gold
2715,M,Single,0,28638,Y,61,23,Silver
2716,M,Married,1,61254,Y,25,45,Family Unlimited
2717,F,Married,0,48796,Y,32,73,Family Platinum
2718,F,Married,2,7168,Y,50,44,Family Platinum
2719,M,Married,0,10931,Y,44,67,Family Military
2720,F,Single,1,638078,Y,21,25,Silver
2721,M,Married,0,61215,Y,53,106,Family Military
2722,F,Single,1,494583,N,18,3,Unlimited
2723,M,Single,0,54481,Y,27,117,Unlimited
2724,F,Married,2,68088,N,47,82,Family Military
2725,F,Single,0,66489,Y,27,111,Unlimited
2726,F,Married,0,65829,Y,51,71,Family Platinum
2727,F,Single,1,22595,N,21,17,Unlimited
2728,M,Single,1,96151,N,23,23,Platinum
2729,M,Single,1,782505,Y,23,7,Silver
2730,M,Single,0,7086,Y,24,20,Platinum
2731,M,Married,2,30801,N,24,56,Family Silver
2732,M,Married,0,259679,N,66,100,Family Unlimited
2733,M,Married,0,84377,Y,51,86,Family Gold
2734,F,Married,0,6060,N,25,8,Family Silver
2735,F,Single,0,92031,N,30,105,Silver
2736,M,Single,1,75570,Y,26,59,Unlimited
2737,M,Married,4,53966,N,30,119,Family Gold
2738,F,Married,0,70542,N,40,112,Family Silver
2739,M,Married,1,95960,Y,36,77,Family Gold
2740,F,Married,3,682737,Y,27,15,Family Military
2741,M,Married,2,44361,Y,27,66,Family Platinum
2742,F,Single,2,85825,Y,52,15,Gold
2743,M,Single,1,279521,Y,22,2,Silver
2744,M,Single,1,35889,Y,18,11,Gold
2745,M,Married,0,13500,Y,41,94,Family Gold
2746,M,Single,0,97253,Y,25,96,Silver
2747,F,Single,1,57520,Y,27,61,Silver
2748,M,Married,2,16591,Y,41,49,Family Military
2749,F,Married,2,7559,Y,30,28,Family Gold
2750,M,Single,0,54263,N,28,107,Gold
2751,M,Single,1,344402,N,25,45,Platinum
2752,M,Single,0,94834,N,28,23,Silver
2753,M,Married,0,75179,N,49,24,Family Platinum
2754,M,Married,0,30209,N,29,16,Family Gold
2755,M,Single,0,99207,Y,23,70,Platinum
2756,N,Single,1,72091,Y,29,95,Gold
2757,M,Married,2,61801,N,42,29,Family Platinum
2758,F,Single,2,44608,Y,27,94,Gold
2759,F,Single,0,4061,N,28,6,Gold
2760,F,Married,1,36116,N,66,38,Family Silver
2761,M,Single,0,54487,Y,27,93,Gold
2762,M,Married,2,2430,Y,40,63,Family Silver
2763,F,Married,2,10273,Y,51,120,Family Silver
2764,F,Single,1,51868,Y,29,1,Unlimited
2765,M,Single,1,59538,N,19,21,Platinum
2766,M,Single,0,73132,Y,18,3,Platinum
2767,F,Single,0,3389,N,22,57,Platinum
2768,F,Single,0,54667,Y,23,44,Unlimited
2769,M,Single,2,14242,Y,19,4,Silver
2770,M,Single,2,49833,N,20,21,Silver
2771,F,Married,2,56130,Y,34,101,Family Military
2772,F,Married,0,18240,N,65,73,Family Military
2773,M,Single,0,2651,Y,21,6,Platinum
2774,F,Married,2,9498,Y,43,8,Family Unlimited
2775,F,Single,0,20666,Y,28,119,Platinum
2776,F,Married,0,43361,N,53,93,Family Gold
2777,F,Married,2,69718,Y,32,104,Family Unlimited
2778,M,Single,0,21063,Y,27,48,Silver
2779,F,Married,0,83360,Y,35,85,Family Platinum
2780,F,Married,0,54848,N,36,6,Family Platinum
2781,M,Married,0,8507,Y,53,103,Family Unlimited
2782,F,Single,0,95075,N,27,50,Platinum
2783,M,Married,0,45093,Y,29,54,Family Platinum
2784,F,Married,0,94567,N,45,30,Family Silver
2785,M,Married,4,14625,Y,32,15,Family Military
2786,F,Married,5,11477,N,29,86,Family Silver
2787,F,Single,0,67750,N,21,44,Platinum
2788,F,Single,0,70987,Y,18,8,Silver
2789,F,Married,0,49150,Y,77,11,Family Unlimited
2790,M,Married,0,830178,Y,52,87,Family Silver
2791,M,Single,2,71642,Y,19,8,Unlimited
2792,F,Married,6,72241,N,40,51,Family Military
2793,F,Single,0,31281,Y,27,19,Platinum
2794,M,Single,9,80289,Y,25,33,Platinum
2795,F,Married,0,72044,Y,52,7,Family Unlimited
2796,M,Married,0,56605,Y,27,71,Family Platinum
2797,M,Married,0,24358,Y,23,66,Family Military
2798,F,Married,2,23488,N,51,64,Family Unlimited
2799,M,Single,0,413484,N,27,115,Unlimited
2800,F,Single,0,98908,Y,18,12,Silver
2801,M,Married,4,94592,Y,37,26,Family Unlimited
2802,F,Married,2,308029,N,42,87,Family Silver
2803,M,Married,6,16965,N,49,61,Family Silver
2804,M,Married,0,31243,Y,54,114,Family Platinum
2805,M,Married,2,73312,Y,41,106,Family Platinum
2806,N,Single,1,86823,N,26,46,Gold
2807,M,Married,0,18764,Y,51,29,Family Unlimited
2808,M,Married,3,34181,Y,49,4,Family Platinum
2809,F,Married,0,75737,N,28,55,Family Platinum
2810,M,Single,0,376529,N,26,19,Gold
2811,M,Married,1,91406,Y,52,55,Family Silver
2812,F,Married,0,98863,Y,52,39,Family Military
2813,F,Single,0,78224,Y,19,12,Platinum
2814,M,Married,1,35700,Y,43,44,Family Military
2815,F,Married,0,30260,Y,63,84,Family Silver
2816,F,Married,1,409810,Y,51,60,Family Silver
2817,M,Single,2,35882,Y,20,13,Platinum
2818,F,Married,2,10495,Y,49,62,Family Military
2819,M,Married,2,11786,Y,25,91,Family Platinum
2820,M,Single,1,4661,N,21,43,Platinum
2821,F,Single,1,78369,Y,25,53,Silver
2822,B,Single,0,88315,N,19,12,Gold
2823,F,Married,0,7653,Y,53,19,Family Gold
2824,F,Single,1,5694,Y,25,44,Unlimited
2825,F,Single,1,52894,Y,20,5,Unlimited
2826,F,Single,0,48839,N,22,14,Gold
2827,F,Married,5,13780,Y,44,96,Family Silver
2828,M,Married,0,91199,Y,52,7,Family Unlimited
2829,F,Single,1,31212,Y,28,75,Silver
2830,F,Married,1,71459,Y,43,1,Family Silver
2831,M,Single,0,69458,Y,43,106,Silver
2832,M,Married,2,89439,Y,40,111,Family Unlimited
2833,M,Married,0,15288,N,26,102,Family Silver
2834,F,Single,0,50408,Y,18,5,Silver
2835,M,Single,0,90010,Y,25,21,Platinum
2836,M,Single,1,32937,N,27,44,Gold
2837,F,Married,0,36326,Y,25,50,Family Gold
2838,F,Married,2,81621,Y,51,88,Family Unlimited
2839,M,Single,1,202127,Y,24,25,Gold
2840,M,Single,1,99427,N,23,4,Platinum
2841,M,Single,0,38150,Y,18,1,Platinum
2842,M,Married,2,40060,N,24,44,Family Unlimited
2843,M,Married,1,73335,N,37,107,Family Unlimited
2844,M,Single,0,971424,Y,27,86,Silver
2845,F,Married,1,12999,N,38,52,Family Silver
2846,M,Single,0,941057,N,19,24,Unlimited
2847,F,Single,1,94148,N,26,15,Silver
2848,F,Married,2,13703,N,49,115,Family Gold
2849,F,Married,0,220160,Y,54,81,Family Gold
2850,F,Single,2,65750,Y,51,72,Unlimited
2851,F,Single,0,11774,Y,20,3,Unlimited
2852,F,Single,2,64713,N,27,105,Platinum
2853,F,Single,0,461992,Y,25,49,Unlimited
2854,F,Single,1,57307,N,24,25,Platinum
2855,F,Single,0,11163,Y,18,12,Platinum
2856,F,Married,1,738291,Y,33,72,Family Silver
2857,F,Married,2,11628,Y,48,21,Family Gold
2858,F,Single,0,1890,N,25,52,Gold
2859,F,Single,2,50662,N,22,42,Gold
2860,M,Married,0,95687,Y,71,40,Family Military
2861,M,Single,0,49409,Y,20,17,Unlimited
2862,F,Single,0,324648,N,24,38,Unlimited
2863,F,Single,0,486108,N,29,108,Gold
2864,F,Single,1,96284,Y,21,7,Platinum
2865,M,Single,0,88259,Y,29,78,Silver
2866,F,Single,2,96589,Y,20,34,Platinum
2867,M,Single,2,35194,Y,20,9,Gold
2868,F,Single,0,18698,N,30,21,Unlimited
2869,F,Married,0,33618,Y,27,56,Family Unlimited
2870,M,Married,2,45538,Y,50,63,Family Silver
2871,M,Married,1,88172,N,29,105,Family Platinum
2872,M,Married,0,4436,N,27,114,Family Unlimited
2873,M,Married,1,317557,N,49,63,Family Gold
2874,F,Married,0,360627,Y,41,85,Family Military
2875,F,Married,0,64296,N,33,9,Family Gold
2876,F,Single,0,203230,N,29,61,Silver
2877,F,Married,1,91808,Y,41,73,Family Gold
2878,M,Single,2,99935,Y,21,24,Silver
2879,F,Married,0,63551,N,54,24,Family Platinum
2880,F,Married,0,19787,N,47,33,Family Gold
2881,M,Single,0,44064,N,27,49,Platinum
2882,M,Married,1,57214,Y,39,116,Family Silver
2883,F,Married,2,25896,Y,23,67,Family Silver
2884,M,Married,1,98239,Y,51,58,Family Unlimited
2885,F,Married,2,8794,Y,34,90,Family Platinum
2886,F,Married,2,755662,Y,26,107,Family Silver
2887,F,Single,1,15932,Y,28,33,Unlimited
2888,F,Married,2,58449,Y,52,108,Family Military
2889,M,Married,1,55559,Y,25,53,Family Unlimited
2890,M,Married,5,16388,Y,26,38,Family Gold
2891,M,Single,0,19443,Y,18,2,Gold
2892,F,Single,0,30961,Y,23,43,Unlimited
2893,F,Married,2,95531,Y,44,100,Family Platinum
2894,M,Married,1,898001,Y,37,117,Family Platinum
2895,F,Married,1,77243,N,35,17,Family Military
2896,F,Married,0,44946,N,46,113,Family Platinum
2897,M,Single,1,65416,Y,21,42,Silver
2898,F,Married,0,79721,Y,47,81,Family Platinum
2899,M,Single,0,22267,N,23,42,Silver
2900,M,Single,0,30764,Y,25,8,Platinum
2901,F,Married,1,45771,Y,46,63,Family Unlimited
2902,M,Married,0,40650,Y,43,19,Family Silver
2903,M,Single,0,104210,Y,22,20,Gold
