ID,DroppedCalls,SupportCallsYear,SupportCallsMonth,ComplaintsYear,ComplaintsMonth
3779,0,0,0,1,0
3780,5,2,2,5,3
3781,0,0,0,0,0
3782,1,4,4,1,0
3783,1,23,2,0,0
3784,1,1,1,0,0
3785,1,1,1,2,1
3786,0,4,4,0,0
3787,4,1,1,3,2
3788,0,0,0,0,0
3789,2,9,3,2,1
3790,0,0,0,0,0
3791,2,0,0,0,0
3792,2,1,1,4,2
3793,0,4,0,0,0
3794,4,8,2,4,2
3795,0,23,5,0,0
3796,0,0,0,2,0
3797,3,0,0,2,1
3798,4,6,1,5,4
3799,0,0,0,0,0
3800,1,0,0,2,1
3801,1,0,0,1,0
3802,4,3,0,3,2
3803,1,0,0,0,0
3804,0,1,1,0,0
3805,0,0,0,0,0
3806,0,0,0,0,0
3807,3,0,0,2,1
3808,5,0,0,6,5
3809,2,0,0,2,1
3810,0,0,0,2,1
3811,2,1,1,2,0
3812,1,0,0,0,0
3813,0,1,0,0,0
3814,0,0,0,0,0
3815,0,0,0,0,0
3816,0,1,1,2,1
3817,1,0,0,0,0
3818,3,0,0,2,1
3819,0,0,0,0,0
3820,1,0,0,1,0
3821,3,0,0,3,2
3822,3,1,1,2,1
3823,0,21,4,0,0
3824,0,3,3,2,1
3825,0,33,8,2,1
3826,2,1,0,2,1
3827,0,1,1,0,0
3828,1,1,1,0,0
3829,2,4,1,4,2
3830,0,24,3,0,0
3831,0,5,1,2,1
3832,1,0,0,0,0
3833,5,0,0,5,3
3834,2,0,0,2,1
3835,0,0,0,0,0
3836,0,21,3,2,1
3837,3,1,1,2,1
3838,4,0,0,6,4
3839,0,14,3,2,0
3840,1,0,0,0,0
3841,4,4,4,4,2
3842,0,10,1,0,0
3843,2,36,4,0,0
3844,4,13,4,2,1
3845,4,0,0,2,1
3846,3,4,0,1,0
3847,0,2,0,2,1
3848,5,3,3,7,4
3849,4,0,0,6,4
3850,3,3,0,3,2
3851,2,8,2,4,2
3852,0,9,3,2,1
3853,1,4,4,0,0
3854,2,7,7,4,2
3855,1,2,0,0,0
3856,1,33,3,0,0
3857,2,85,8,0,0
3858,2,41,4,3,2
3859,0,4,4,2,1
3860,0,0,0,0,0
3861,1,0,0,2,1
3862,3,3,0,3,2
3863,4,0,0,6,3
3864,2,11,2,2,1
3865,0,0,0,2,1
3866,1,1,1,0,0
3867,0,0,0,2,1
3868,1,8,2,0,0
3869,0,0,0,0,0
3870,0,1,0,0,0
3871,1,3,0,2,1
3872,0,0,0,0,0
3873,1,4,4,0,0
3874,3,18,4,0,0
3875,4,2,2,2,1
3876,5,1,0,8,4
3877,0,1,0,0,0
3878,2,0,0,4,2
3879,0,27,5,0,0
3880,0,0,0,0,0
3881,0,0,0,0,0
3882,0,2,2,0,0
3883,3,9,3,2,1
3884,3,15,4,2,1
3885,4,9,1,2,1
3886,0,0,0,0,0
3887,0,0,0,2,0
3888,1,9,4,0,0
3889,2,0,0,0,0
3890,0,1,1,0,0
3891,0,0,0,0,0
3892,0,25,4,0,0
3893,1,15,3,0,0
3894,2,0,0,2,1
3895,0,6,1,0,0
3896,5,0,0,7,5
3897,1,0,0,0,0
3898,0,0,0,0,0
3899,2,3,3,2,1
3900,0,4,4,0,0
3901,0,3,0,2,1
3902,0,7,2,1,0
3903,0,0,0,0,0
3904,0,0,0,0,0
3905,0,1,1,0,0
3906,2,6,6,2,1
3907,1,3,0,0,0
3908,4,0,0,5,3
3909,5,3,3,6,3
3910,3,5,2,0,0
3911,3,0,0,4,2
3912,4,0,0,7,4
3913,0,9,3,0,0
3914,0,0,0,0,0
3915,0,0,0,0,0
3916,1,1,0,0,0
3917,0,0,0,0,0
3918,0,1,1,0,0
3919,1,18,3,0,0
3920,3,1,1,2,1
3921,0,1,0,0,0
3922,1,1,1,2,0
3923,0,0,0,0,0
3924,3,3,0,2,1
3925,2,44,4,3,2
3926,3,0,0,3,2
3927,0,6,1,0,0
3928,2,1,1,0,0
3929,1,2,0,0,0
3930,1,50,8,2,1
3931,0,0,0,0,0
3932,4,6,1,6,3
3933,0,0,0,0,0
3934,0,0,0,0,0
3935,2,0,0,0,0
3936,2,3,0,2,1
3937,1,0,0,0,0
3938,0,0,0,2,1
3939,5,0,0,4,2
3940,3,0,0,2,1
3941,2,0,0,0,0
3942,4,6,6,5,3
3943,5,1,0,5,3
3944,0,0,0,2,1
3945,1,1,0,0,0
3946,0,0,0,0,0
3947,0,7,7,0,0
3948,1,0,0,2,1
3949,3,50,8,2,1
3950,0,16,3,0,0
3951,0,0,0,0,0
3952,1,1,1,0,0
3953,1,3,3,0,0
3954,0,0,0,0,0
3955,3,3,0,0,0
3956,1,0,0,2,1
3957,4,0,0,2,1
3958,1,1,1,0,0
3959,2,2,0,2,1
3960,3,3,3,2,1
3961,0,0,0,0,0
3962,0,17,2,0,0
3963,1,16,2,1,0
3964,0,3,3,2,1
3965,3,3,0,0,0
3966,3,0,0,4,2
3967,5,3,0,4,2
3968,1,1,1,0,0
3969,4,16,2,2,1
3970,3,34,6,0,0
3971,0,1,0,2,1
3972,2,3,0,2,1
3973,0,5,5,0,0
3974,0,0,0,0,0
3975,1,0,0,0,0
3976,3,2,2,2,1
3977,2,0,0,2,1
3978,2,3,0,2,1
3979,0,0,0,2,1
3980,2,0,0,2,1
3981,1,1,0,0,0
3982,0,1,1,0,0
3983,1,15,2,0,0
3984,5,2,2,9,5
3985,5,4,4,4,2
3986,1,0,0,0,0
3987,0,0,0,0,0
3988,1,4,4,0,0
3989,4,19,2,5,4
3990,2,3,3,0,0
3991,2,10,4,2,1
3992,1,0,0,2,1
3993,0,32,4,0,0
3994,3,1,0,2,1
3995,3,4,0,0,0
3996,5,1,0,9,5
3997,0,0,0,0,0
3998,0,0,0,0,0
3999,1,15,2,0,0
4000,0,0,0,2,1
4001,1,7,1,0,0
4002,3,2,0,2,1
4003,1,0,0,0,0
4004,1,23,8,0,0
4005,2,14,4,0,0
4006,4,12,2,2,1
4007,0,2,2,0,0
4008,0,3,0,2,0
4009,1,4,4,0,0
4010,2,0,0,2,1
4011,1,16,2,2,1
4012,1,0,0,0,0
4013,1,0,0,0,0
4014,3,0,0,2,1
4015,0,0,0,2,1
4016,3,44,5,3,2
4017,1,10,2,0,0
4018,0,3,0,0,0
4019,0,33,8,2,1
4020,2,4,4,0,0
4021,3,2,0,2,1
4022,5,2,0,2,1
4023,0,11,1,2,1
4024,2,2,2,2,1
4025,1,1,0,0,0
4026,5,0,0,10,5
4027,2,0,0,0,0
4028,2,3,3,2,1
4029,2,0,0,0,0
4030,1,13,3,0,0
4031,0,0,0,0,0
4032,3,1,1,2,1
4033,0,0,0,0,0
4034,4,0,0,2,1
4035,1,0,0,0,0
4036,0,0,0,2,1
4037,0,17,2,0,0
4038,3,1,0,0,0
4039,0,8,8,2,1
4040,0,10,1,0,0
4041,0,1,1,2,1
4042,5,0,0,2,1
4043,5,0,0,7,5
4044,0,0,0,0,0
4045,3,4,4,3,2
4046,0,1,1,2,1
4047,0,2,2,0,0
4048,0,3,3,0,0
4049,0,1,1,0,0
4050,5,1,1,5,4
4051,0,1,1,2,1
4052,1,0,0,2,1
4053,0,12,5,0,0
4054,4,0,0,7,4
4055,3,4,4,2,1
4056,4,0,0,6,4
4057,1,0,0,0,0
4058,0,2,2,2,1
4059,3,2,0,2,1
4060,2,0,0,2,1
4061,0,52,5,0,0
4062,1,1,0,0,0
4063,0,10,2,0,0
4064,0,0,0,0,0
4065,3,3,0,2,1
4066,0,12,2,0,0
4067,0,1,0,0,0
4068,0,2,0,2,1
4069,0,4,4,0,0
4070,0,5,5,1,0
4071,2,6,6,3,2
4072,0,3,0,2,1
4073,2,1,1,2,1
4074,0,0,0,2,1
4075,2,0,0,0,0
4076,0,0,0,0,0
4077,1,2,0,0,0
4078,3,10,3,2,1
4079,2,7,2,3,2
4080,0,28,7,0,0
4081,0,19,4,0,0
4082,5,18,4,5,4
4083,0,2,2,0,0
4084,5,0,0,2,1
4085,3,3,3,3,2
4086,5,11,1,2,1
4087,0,3,3,0,0
4088,1,0,0,0,0
4089,1,2,2,0,0
4090,0,1,1,2,1
4091,0,5,5,0,0
4092,2,22,5,2,1
4093,2,5,5,3,2
4094,1,0,0,1,0
4095,0,3,3,0,0
4096,2,21,3,0,0
4097,0,0,0,0,0
4098,3,0,0,2,1
4099,0,0,0,0,0
4100,0,3,3,2,1
4101,0,0,0,2,0
4102,0,3,3,2,1
4103,0,2,2,0,0
4104,0,7,3,2,1
4105,3,12,2,2,1
4106,0,1,1,0,0
4107,0,0,0,0,0
4108,0,0,0,2,0
4109,2,0,0,2,1
4110,0,0,0,0,0
4111,0,0,0,0,0
4112,0,0,0,0,0
4113,0,27,6,0,0
4114,3,0,0,2,1
4115,2,12,4,2,1
4116,3,4,0,2,1
4117,0,2,2,0,0
4118,2,2,2,1,0
4119,2,0,0,2,1
4120,0,21,4,2,1
4121,2,2,2,2,1
4122,5,2,2,3,2
4123,0,2,0,2,1
4124,2,1,1,2,1
4125,1,0,0,2,1
4126,0,3,0,0,0
4127,3,2,2,2,1
4128,4,0,0,5,4
4129,3,17,2,2,1
4130,0,6,6,1,0
4131,5,23,2,4,3
4132,2,0,0,2,1
4133,0,2,2,0,0
4134,2,3,0,3,2
4135,5,11,4,8,5
4136,0,0,0,0,0
4137,0,2,0,2,1
4138,3,13,3,3,2
4139,4,4,4,2,1
4140,3,1,1,2,1
4141,2,0,0,2,1
4142,0,0,0,0,0
4143,3,2,0,2,1
4144,1,0,0,1,0
4145,0,4,4,0,0
4146,0,4,0,0,0
4147,0,0,0,0,0
4148,2,1,1,4,2
4149,1,0,0,0,0
4150,0,1,1,2,1
4151,2,2,2,2,1
4152,3,0,0,2,1
4153,0,0,0,2,1
4154,1,0,0,2,1
4155,5,0,0,2,1
4156,0,11,4,0,0
4157,0,0,0,0,0
4158,3,6,6,2,1
4159,1,1,0,0,0
4160,1,4,0,0,0
4161,0,6,6,0,0
4162,0,5,5,0,0
4163,3,1,1,0,0
4164,2,2,2,2,1
4165,4,0,0,2,1
4166,0,3,3,2,1
4167,1,0,0,2,1
4168,0,4,0,0,0
4169,3,0,0,2,1
4170,0,11,4,0,0
4171,2,0,0,2,1
4172,0,0,0,0,0
4173,0,9,2,2,1
4174,3,0,0,2,1
4175,2,24,4,2,1
4176,0,6,6,0,0
4177,1,9,4,0,0
4178,2,0,0,3,2
4179,4,0,0,2,1
4180,0,3,3,2,1
4181,4,32,5,2,1
4182,0,0,0,0,0
4183,2,3,3,2,1
4184,0,2,0,2,0
4185,5,0,0,6,3
4186,5,20,3,3,2
4187,0,12,2,0,0
4188,0,19,6,0,0
4189,1,2,2,0,0
4190,1,6,1,0,0
4191,3,21,2,2,1
4192,2,8,8,0,0
4193,2,24,4,2,1
4194,0,28,4,2,1
4195,0,0,0,0,0
4196,1,1,0,0,0
4197,0,3,0,2,1
4198,2,0,0,2,1
4199,0,1,1,0,0
4200,0,0,0,0,0
4201,0,11,2,0,0
4202,1,42,7,1,0
4203,0,3,3,1,0
4204,0,22,4,0,0
4205,2,0,0,0,0
4206,2,4,4,4,2
4207,5,3,0,6,3
4208,0,0,0,0,0
4209,2,2,0,0,0
4210,1,0,0,0,0
4211,1,0,0,0,0
4212,0,1,0,0,0
4213,2,0,0,0,0
4214,1,38,6,0,0
4215,5,0,0,6,4
4216,0,4,0,0,0
4217,0,2,0,2,1
4218,0,5,5,0,0
4219,5,4,4,9,5
4220,4,2,2,6,3
4221,0,1,0,2,0
4222,3,0,0,0,0
4223,1,29,6,1,0
4224,1,0,0,0,0
4225,4,1,1,3,2
4226,2,0,0,0,0
4227,3,57,8,2,1
4228,3,0,0,2,1
4229,1,1,1,1,0
4230,3,0,0,2,1
4231,0,11,1,0,0
4232,0,0,0,0,0
4233,1,16,4,0,0
4234,0,2,2,2,1
4235,0,4,0,0,0
4236,0,5,5,0,0
4237,3,26,3,4,2
4238,2,13,3,3,2
4239,0,11,5,2,1
4240,4,2,0,5,4
4241,2,0,0,0,0
4242,3,11,2,2,1
4243,1,32,4,0,0
4244,0,0,0,0,0
4245,1,2,0,2,1
4246,3,12,3,2,1
4247,2,0,0,2,1
4248,3,11,3,2,1
4249,3,0,0,3,2
4250,0,17,7,0,0
4251,5,0,0,10,5
4252,0,2,2,2,1
4253,5,0,0,3,2
4254,5,0,0,2,1
4255,1,2,0,2,1
4256,1,11,1,2,1
4257,0,0,0,0,0
4258,2,0,0,2,1
4259,2,13,3,0,0
4260,1,0,0,0,0
4261,0,1,0,0,0
4262,0,0,0,0,0
4263,0,23,4,0,0
4264,1,4,4,0,0
4265,3,0,0,2,1
4266,1,2,0,0,0
4267,2,0,0,0,0
4268,0,2,2,0,0
4269,2,2,2,4,2
4270,2,33,5,2,1
4271,2,18,3,2,1
4272,1,6,2,0,0
4273,0,3,0,0,0
4274,3,2,0,2,1
4275,1,27,3,0,0
4276,1,7,2,2,0
4277,2,0,0,4,2
4278,0,9,1,0,0
4279,1,47,4,0,0
4280,5,0,0,6,4
4281,0,7,1,1,0
4282,0,0,0,2,1
4283,0,2,2,0,0
4284,0,0,0,0,0
4285,2,0,0,2,1
4286,0,0,0,2,1
4287,3,2,0,2,1
4288,4,1,0,4,2
4289,3,9,5,2,1
4290,2,0,0,2,1
4291,0,4,4,0,0
4292,3,0,0,2,1
4293,0,21,4,0,0
4294,2,4,4,3,2
4295,0,0,0,2,1
4296,2,3,3,2,1
4297,0,7,7,0,0
4298,0,0,0,0,0
4299,0,17,2,0,0
4300,0,0,0,2,1
4301,2,10,1,2,1
4302,0,0,0,0,0
4303,3,0,0,0,0
4304,4,0,0,6,3
4305,3,0,0,2,1
4306,5,3,3,6,5
4307,0,0,0,2,1
4308,0,0,0,0,0
4309,2,0,0,3,2
4310,0,3,3,0,0
4311,0,1,1,0,0
4312,1,1,1,2,1
4313,0,0,0,2,1
4314,4,15,7,6,3
4315,1,19,6,2,1
4316,0,7,7,0,0
4317,0,12,4,0,0
4318,3,2,0,2,1
4319,3,0,0,2,1
4320,0,2,2,2,1
4321,0,14,6,2,1
4322,3,0,0,2,1
4323,0,0,0,0,0
4324,0,4,4,0,0
4325,0,1,1,2,0
4326,0,0,0,0,0
4327,0,1,1,0,0
4328,0,2,2,0,0
4329,0,7,7,0,0
4330,0,2,2,0,0
4331,1,35,3,0,0
4332,2,2,2,2,1
4333,0,50,8,2,1
4334,0,0,0,2,1
4335,1,4,4,0,0
4336,0,4,0,0,0
4337,0,1,1,0,0
4338,3,0,0,2,1
4339,4,1,1,7,4
4340,0,1,0,0,0
4341,5,21,3,9,5
4342,0,0,0,0,0
4343,3,2,0,2,1
4344,1,4,4,2,1
4345,4,0,0,3,2
4346,3,3,3,2,1
4347,0,0,0,0,0
4348,2,2,0,2,1
4349,2,6,6,2,1
4350,0,0,0,2,0
4351,1,4,4,0,0
4352,3,2,0,0,0
4353,1,0,0,0,0
4354,0,0,0,0,0
4355,0,28,4,2,1
4356,3,2,2,3,2
4357,0,5,1,0,0
4358,2,2,2,2,1
4359,0,7,3,2,1
4360,3,4,4,4,2
4361,5,2,2,4,2
4362,0,0,0,2,1
4363,3,1,0,0,0
4364,3,0,0,2,1
4365,2,3,3,4,2
4366,2,7,2,2,1
4367,0,6,6,0,0
4368,0,0,0,0,0
4369,0,2,0,2,1
4370,2,3,0,2,1
4371,0,6,6,0,0
4372,0,0,0,0,0
4373,2,10,3,2,1
4374,5,2,0,9,5
4375,0,0,0,2,1
4376,4,2,2,5,4
4377,1,2,2,0,0
4378,5,13,3,10,5
4379,0,0,0,0,0
4380,3,2,2,0,0
4381,0,23,2,0,0
4382,1,4,0,0,0
4383,0,25,3,2,1
4384,5,2,2,6,3
4385,3,0,0,2,1
4386,3,1,0,2,1
4387,1,0,0,2,1
4388,0,3,0,0,0
4389,1,4,1,0,0
4390,0,4,0,0,0
4391,5,3,3,2,1
4392,3,3,0,2,1
4393,0,0,0,0,0
4394,0,3,0,2,1
4395,0,2,2,0,0
4396,1,0,0,0,0
4397,1,2,2,2,1
4398,2,3,3,0,0
4399,0,5,5,2,1
4400,0,0,0,0,0
4401,2,1,0,2,1
4402,1,3,0,0,0
4403,2,2,0,4,2
4404,0,0,0,0,0
4405,1,3,3,1,0
4406,2,1,1,0,0
4407,2,0,0,2,1
4408,1,5,5,0,0
4409,0,2,2,0,0
4410,1,0,0,0,0
4411,0,0,0,0,0
4412,3,0,0,0,0
4413,1,0,0,0,0
4414,0,0,0,0,0
4415,0,2,2,0,0
4416,0,2,2,0,0
4417,0,0,0,2,1
4418,2,3,3,2,1
4419,0,3,0,0,0
4420,0,4,4,0,0
4421,1,6,6,2,1
4422,0,1,0,2,1
4423,3,10,3,2,1
4424,1,0,0,0,0
4425,0,2,2,0,0
4426,0,0,0,0,0
4427,1,1,0,0,0
4428,0,3,3,0,0
4429,0,35,3,2,1
4430,1,47,6,0,0
4431,3,0,0,0,0
4432,2,20,2,0,0
4433,1,0,0,0,0
4434,0,1,1,0,0
4435,5,1,1,6,3
4436,5,0,0,9,5
4437,4,0,0,2,1
4438,3,3,0,2,1
4439,3,2,0,2,1
4440,1,1,1,2,1
4441,2,0,0,2,1
4442,1,0,0,0,0
4443,2,0,0,2,1
4444,2,2,2,0,0
4445,2,0,0,2,1
4446,2,19,2,4,2
4447,3,0,0,0,0
4448,0,0,0,0,0
4449,1,8,8,0,0
4450,2,0,0,2,1
4451,2,6,6,2,1
4452,3,0,0,3,2
4453,0,3,3,0,0
4454,3,15,3,2,1
4455,1,2,2,0,0
4456,3,3,0,2,1
4457,3,0,0,0,0
4458,3,3,0,2,1
4459,3,3,3,3,2
4460,2,0,0,0,0
4461,1,32,4,0,0
4462,3,1,0,0,0
4463,1,0,0,0,0
4464,0,16,2,0,0
4465,5,3,3,3,2
4466,3,5,1,0,0
4467,3,0,0,2,1
4468,4,6,1,2,1
4469,3,6,6,4,2
4470,1,0,0,0,0
4471,2,9,1,0,0
4472,1,3,0,0,0
4473,3,11,2,0,0
4474,0,3,3,2,1
4475,0,4,0,2,1
4476,2,0,0,2,1
4477,0,0,0,0,0
4478,1,2,2,0,0
4479,1,0,0,0,0
4480,4,11,4,5,4
4481,3,0,0,4,2
4482,0,1,1,0,0
4483,0,0,0,0,0
4484,1,4,0,0,0
4485,2,0,0,3,2
4486,0,0,0,0,0
4487,1,0,0,0,0
4488,0,4,4,0,0
4489,1,1,0,0,0
4490,3,0,0,2,1
4491,1,4,0,0,0
4492,4,1,0,8,4
4493,0,3,3,2,1
4494,0,1,1,2,1
4495,3,4,0,0,0
4496,2,0,0,0,0
4497,1,1,1,0,0
4498,3,12,4,0,0
4499,3,0,0,2,1
4500,0,0,0,0,0
4501,4,14,3,6,3
4502,0,1,0,2,1
4503,0,3,3,0,0
4504,0,0,0,0,0
4505,0,1,0,0,0
4506,2,0,0,3,2
4507,2,19,3,2,1
4508,4,1,1,6,3
4509,5,2,2,7,4
4510,2,18,3,2,1
4511,3,0,0,0,0
4512,4,31,4,2,1
4513,0,4,4,0,0
4514,0,0,0,0,0
4515,0,0,0,1,0
4516,1,0,0,1,0
4517,3,10,2,2,0
4518,1,3,3,2,1
4519,3,1,0,2,1
4520,3,0,0,0,0
4521,3,0,0,2,1
4522,4,2,0,2,1
4523,3,2,2,4,2
4524,0,3,3,0,0
4525,0,2,2,0,0
4526,3,0,0,2,1
4527,1,2,0,0,0
4528,0,0,0,0,0
4529,0,2,0,0,0
4530,0,34,7,0,0
4531,0,1,0,0,0
4532,0,0,0,0,0
4533,1,11,2,0,0
4534,0,2,0,2,0
4535,0,2,0,2,1
4536,0,1,1,2,1
4537,0,1,1,0,0
4538,0,1,0,1,0
4539,3,4,0,2,1
4540,1,2,2,0,0
4541,5,0,0,5,3
4542,0,46,4,0,0
4543,0,0,0,2,1
4544,2,0,0,1,0
4545,3,1,1,2,1
4546,2,3,0,2,1
4547,3,2,0,2,1
4548,1,0,0,0,0
4549,1,0,0,0,0
4550,2,3,3,2,1
4551,0,0,0,0,0
4552,0,4,0,2,1
4553,0,0,0,0,0
4554,0,3,0,2,1
4555,2,31,4,2,1
4556,3,25,4,2,1
4557,3,2,2,3,2
4558,0,8,4,0,0
4559,5,0,0,2,1
4560,0,0,0,0,0
4561,2,4,0,1,0
4562,0,1,0,2,1
4563,2,0,0,0,0
4564,1,17,5,2,1
4565,1,3,0,2,0
4566,0,12,3,2,1
4567,2,32,4,3,2
4568,0,4,0,2,1
4569,3,34,6,3,2
4570,2,2,2,3,2
4571,2,23,2,2,1
4572,0,0,0,0,0
4573,4,0,0,6,4
4574,1,1,1,0,0
4575,3,1,1,0,0
4576,5,2,0,7,5
4577,2,10,4,0,0
4578,3,3,3,2,1
4579,0,5,5,0,0
4580,3,4,0,2,1
4581,0,4,0,0,0
4582,3,3,3,2,1
4583,0,4,0,2,1
4584,3,1,1,2,1
4585,1,4,4,0,0
4586,1,28,6,0,0
4587,3,1,0,2,1
4588,2,20,3,0,0
4589,0,4,4,0,0
4590,1,1,1,0,0
4591,0,3,0,0,0
4592,1,0,0,0,0
4593,3,1,0,2,1
4594,4,9,1,7,4
4595,0,4,0,0,0
4596,3,0,0,2,1
4597,0,0,0,2,1
4598,1,5,5,0,0
4599,2,0,0,0,0
4600,2,10,2,2,1
4601,2,8,3,0,0
4602,2,1,1,4,2
4603,0,2,2,0,0
4604,0,23,6,0,0
4605,2,23,4,0,0
4606,3,0,0,2,1
4607,2,1,0,2,1
4608,0,57,8,0,0
4609,2,4,0,0,0
4610,0,10,2,0,0
4611,1,0,0,0,0
4612,3,0,0,4,2
4613,1,2,2,2,0
4614,3,2,2,0,0
4615,0,2,0,0,0
4616,5,0,0,6,4
4617,4,1,1,3,2
4618,0,3,0,2,1
4619,0,0,0,1,0
4620,3,3,3,3,2
4621,5,0,0,2,1
4622,0,0,0,2,1
4623,0,21,2,2,1
4624,0,21,2,2,0
4625,1,7,7,0,0
4626,0,0,0,0,0
4627,4,0,0,5,4
4628,0,4,0,0,0
4629,2,42,7,2,1
4630,0,1,0,0,0
4631,0,0,0,2,1
4632,3,2,2,2,1
4633,3,0,0,0,0
4634,0,13,3,0,0
4635,0,0,0,2,0
4636,0,0,0,2,0
4637,0,1,1,1,0
4638,4,1,1,2,1
4639,0,3,0,0,0
4640,2,12,2,2,1
4641,1,4,0,0,0
4642,2,0,0,2,1
4643,3,0,0,2,1
4644,5,3,0,5,4
4645,5,0,0,4,3
4646,2,2,0,4,2
4647,2,0,0,2,1
4648,4,0,0,5,4
4649,5,0,0,7,4
4650,4,2,2,6,3
4651,0,0,0,1,0
4652,0,7,1,2,1
4653,2,0,0,2,1
4654,2,0,0,0,0
4655,3,1,1,2,1
4656,1,0,0,0,0
4657,3,0,0,2,1
4658,1,4,4,2,1
4659,1,22,3,0,0
4660,3,10,1,2,1
4661,1,0,0,2,1
4662,3,0,0,0,0
4663,5,2,2,9,5
4664,0,1,0,0,0
4665,0,1,0,0,0
4666,0,23,2,0,0
4667,1,0,0,2,1
4668,0,0,0,0,0
4669,0,1,0,0,0
4670,0,1,1,0,0
4671,3,6,6,2,1
4672,0,29,5,2,0
4673,3,0,0,4,2
4674,0,0,0,0,0
4675,0,2,2,2,1
4676,5,0,0,6,5
4677,1,38,6,0,0
4678,0,3,3,0,0
4679,2,0,0,2,1
4680,0,1,0,2,1
4681,4,2,2,5,3
4682,3,3,3,0,0
4683,0,20,2,2,1
4684,0,0,0,2,1
4685,2,9,2,2,1
4686,2,1,1,0,0
4687,0,6,2,2,1
4688,2,4,4,2,1
4689,5,4,4,4,2
4690,1,0,0,0,0
4691,3,0,0,4,2
4692,0,26,4,2,1
4693,1,1,1,0,0
4694,0,0,0,0,0
4695,0,5,5,0,0
4696,3,0,0,3,2
4697,0,1,0,2,0
4698,3,8,3,2,1
4699,2,4,4,2,1
4700,0,10,4,0,0
4701,0,0,0,0,0
4702,1,3,3,2,1
4703,3,2,2,4,2
4704,1,3,3,0,0
4705,0,3,0,2,1
4706,3,0,0,2,1
4707,3,0,0,0,0
4708,2,2,2,0,0
4709,2,0,0,2,1
4710,0,4,0,0,0
4711,2,0,0,2,1
4712,0,3,3,0,0
4713,0,1,1,2,1
4714,0,2,2,0,0
4715,0,2,2,2,1
4716,3,19,3,2,1
4717,0,4,4,2,0
4718,0,0,0,0,0
4719,1,6,6,0,0
4720,2,10,2,3,2
4721,0,17,8,0,0
4722,0,0,0,0,0
4723,3,0,0,2,1
4724,1,5,5,0,0
4725,0,2,0,0,0
4726,1,5,5,0,0
4727,1,2,0,2,1
4728,5,2,2,6,3
4729,1,8,1,0,0
4730,0,0,0,0,0
4731,0,4,4,0,0
4732,3,1,1,2,1
4733,3,8,4,2,1
4734,3,0,0,4,2
4735,0,0,0,1,0
4736,0,0,0,0,0
4737,2,1,1,2,1
4738,0,3,3,0,0
4739,1,3,3,0,0
4740,0,3,0,0,0
4741,2,0,0,4,2
4742,0,10,3,2,1
4743,0,2,0,0,0
4744,0,6,6,0,0
4745,2,1,1,0,0
4746,4,0,0,4,2
4747,0,0,0,0,0
4748,1,0,0,0,0
4749,5,27,3,8,4
4750,0,4,0,2,1
4751,2,0,0,2,1
4752,0,0,0,0,0
4753,2,5,5,2,1
4754,0,32,6,0,0
4755,5,0,0,7,4
4756,1,35,3,0,0
4757,1,1,0,0,0
4758,1,0,0,2,1
4759,1,0,0,0,0
4760,2,0,0,0,0
4761,0,20,6,0,0
4762,3,1,1,4,2
4763,1,2,0,0,0
4764,0,30,3,0,0
4765,0,7,7,0,0
4766,2,0,0,0,0
4767,0,0,0,2,1
4768,0,2,0,0,0
4769,0,0,0,0,0
4770,0,6,1,0,0
4771,0,0,0,0,0
4772,0,33,4,0,0
4773,0,0,0,0,0
4774,5,3,0,6,4
4775,0,0,0,0,0
4776,3,0,0,2,1
4777,2,2,2,0,0
4778,0,1,1,0,0
4779,0,48,5,0,0
4780,0,2,2,2,1
4781,5,12,4,2,1
4782,2,0,0,2,1
4783,0,3,3,2,1
4784,0,2,2,0,0
4785,1,0,0,0,0
4786,0,6,1,2,1
4787,0,0,0,2,1
4788,0,3,0,0,0
4789,1,0,0,0,0
4790,1,0,0,0,0
4791,0,0,0,0,0
4792,1,0,0,2,1
4793,0,22,4,0,0
4794,0,25,6,0,0
4795,0,3,0,0,0
4796,0,0,0,0,0
4797,3,16,3,2,1
4798,0,0,0,0,0
4799,0,5,5,2,1
4800,0,2,0,2,1
4801,1,3,0,0,0
4802,5,18,3,2,1
4803,3,0,0,2,1
4804,0,0,0,0,0
4805,0,2,2,2,1
4806,0,14,4,0,0
4807,0,6,2,0,0
4808,3,0,0,3,2
4809,0,0,0,0,0
4810,0,1,1,0,0
4811,0,3,0,0,0
4812,0,3,0,0,0
4813,0,22,4,0,0
4814,0,15,3,2,1
4815,0,44,7,0,0
4816,2,13,2,0,0
4817,4,3,3,5,3
4818,2,1,1,2,1
4819,2,4,4,3,2
4820,0,0,0,2,0
4821,3,22,3,2,1
4822,1,6,2,2,1
4823,5,4,0,2,1
4824,0,33,6,2,1
4825,2,9,2,2,1
4826,3,0,0,2,1
4827,0,10,4,0,0
4828,3,0,0,2,1
4829,2,4,4,2,1
4830,1,0,0,0,0
4831,0,17,5,0,0
4832,2,0,0,2,1
4833,3,7,2,2,1
4834,3,12,3,0,0
4835,0,2,0,2,1
4836,0,0,0,0,0
4837,2,36,8,2,1
4838,3,6,1,3,2
4839,1,2,2,2,0
4840,3,3,3,2,1
4841,0,2,2,1,0
4842,0,4,4,2,1
4843,2,5,5,0,0
4844,2,0,0,2,1
4845,0,4,0,0,0
4846,2,38,4,2,1
4847,3,6,6,2,0
4848,1,1,1,0,0
4849,4,4,4,6,4
4850,3,0,0,3,2
4851,3,9,1,2,0
